Iter	Fold	TestAcc	ACC1	PRE1	REC1	F1_1	ACC2	PRE2	REC2	F1_2
0	0	-	0.9237	0.7988	0.9194	0.8530	0.9237	0.9708	0.927133	0.9483
0	1	-	0.9583	0.9294	0.9294	0.9294	0.9583	0.9703	0.970333	0.9703
0	2	-	0.9263	0.8388	0.7945	0.8157	0.9263	0.9433	0.959900	0.9515
0	3	-	0.9271	0.8662	0.8356	0.8500	0.9271	0.9451	0.958367	0.9516
0	4	-	0.9323	0.8289	0.9487	0.8824	0.9323	0.9810	0.926200	0.9523
1	0	-	0.9375	0.8692	0.9074	0.8870	0.9375	0.9626	0.949767	0.9560
1	1	-	0.9514	0.8783	0.9235	0.8958	0.9514	0.9725	0.964000	0.9678
1	2	-	0.9349	0.8925	0.8500	0.8701	0.9349	0.9484	0.964933	0.9565
1	3	-	0.9280	0.8946	0.8102	0.8503	0.9280	0.9362	0.968733	0.9522
1	4	-	0.9306	0.8160	0.9475	0.8763	0.9306	0.9812	0.923133	0.9511
2	0	-	0.9375	0.8571	0.9064	0.8795	0.9375	0.9677	0.948400	0.9578
2	1	-	0.9610	0.9299	0.9221	0.9260	0.9610	0.9716	0.975033	0.9733
2	2	-	0.9375	0.8898	0.8649	0.8748	0.9375	0.9555	0.960467	0.9577
2	3	-	0.9227	0.8207	0.8403	0.8225	0.9227	0.9412	0.957267	0.9489
2	4	-	0.9193	0.7983	0.9429	0.8575	0.9193	0.9775	0.914167	0.9437
3	0	-	0.9375	0.8649	0.9126	0.8876	0.9375	0.9670	0.946767	0.9567
3	1	-	0.9514	0.8749	0.9221	0.8959	0.9514	0.9718	0.964000	0.9678
3	2	-	0.9315	0.8624	0.8655	0.8590	0.9315	0.9555	0.953867	0.9538
3	3	-	0.9289	0.9190	0.7943	0.8498	0.9289	0.9320	0.976000	0.9533
3	4	-	0.9185	0.7690	0.9507	0.8489	0.9185	0.9809	0.909767	0.9439
4	0	-	0.9297	0.8514	0.8805	0.8629	0.9297	0.9573	0.948467	0.9525
4	1	-	0.9488	0.8819	0.9120	0.8950	0.9488	0.9684	0.963633	0.9659
4	2	-	0.9427	0.9089	0.8742	0.8910	0.9427	0.9542	0.967433	0.9607
4	3	-	0.9280	0.8307	0.8657	0.8439	0.9280	0.9508	0.953600	0.9520
4	4	-	0.9349	0.8202	0.9516	0.8771	0.9349	0.9800	0.929833	0.9539
5	0	-	0.9115	0.7728	0.8973	0.8259	0.9115	0.9644	0.918800	0.9405
5	1	-	0.9488	0.8746	0.9129	0.8911	0.9488	0.9683	0.963933	0.9660
5	2	-	0.9280	0.8849	0.8009	0.8368	0.9280	0.9468	0.956967	0.9518
5	3	-	0.9254	0.8609	0.8419	0.8464	0.9254	0.9451	0.956000	0.9501
5	4	-	0.9202	0.7919	0.9375	0.8577	0.9202	0.9776	0.913733	0.9445
6	0	-	0.9323	0.8553	0.8977	0.8754	0.9323	0.9633	0.942533	0.9527
6	1	-	0.9635	0.9233	0.9239	0.9234	0.9635	0.9761	0.976133	0.9761
6	2	-	0.9280	0.8412	0.8636	0.8492	0.9280	0.9513	0.953267	0.9521
6	3	-	0.9201	0.8820	0.7900	0.8322	0.9201	0.9332	0.961067	0.9468
6	4	-	0.9123	0.7695	0.9314	0.8425	0.9123	0.9730	0.906933	0.9386
7	0	-	0.9306	0.8282	0.9028	0.8630	0.9306	0.9636	0.942467	0.9529
7	1	-	0.9583	0.9273	0.9106	0.9187	0.9583	0.9686	0.975367	0.9720
7	2	-	0.9306	0.9002	0.8126	0.8536	0.9306	0.9400	0.968367	0.9539
7	3	-	0.9323	0.8843	0.8667	0.8748	0.9323	0.9503	0.957000	0.9536
7	4	-	0.9306	0.8039	0.9599	0.8746	0.9306	0.9848	0.921067	0.9517
8	0	-	0.9306	0.8222	0.9017	0.8577	0.9306	0.9638	0.943667	0.9534
8	1	-	0.9583	0.9137	0.9140	0.9137	0.9583	0.9724	0.972633	0.9725
8	2	-	0.9375	0.8949	0.8627	0.8779	0.9375	0.9510	0.965000	0.9578
8	3	-	0.9323	0.8982	0.8458	0.8705	0.9323	0.9443	0.963767	0.9539
8	4	-	0.9185	0.7430	0.9438	0.8287	0.9185	0.9768	0.913800	0.9442
9	0	-	0.9332	0.8406	0.9072	0.8725	0.9332	0.9680	0.941867	0.9547
9	1	-	0.9635	0.9348	0.9336	0.9340	0.9635	0.9748	0.974800	0.9748
9	2	-	0.9237	0.8608	0.8401	0.8500	0.9237	0.9449	0.951167	0.9480
9	3	-	0.9133	0.8363	0.8167	0.8189	0.9133	0.9400	0.947667	0.9428
9	4	-	0.9132	0.7549	0.9380	0.8356	0.9132	0.9775	0.905367	0.9398
10	0	-	0.9158	0.7976	0.9037	0.8413	0.9158	0.9647	0.923400	0.9427
10	1	-	0.9610	0.9134	0.9215	0.9171	0.9610	0.9763	0.972400	0.9743
10	2	-	0.9141	0.8146	0.8521	0.8194	0.9141	0.9487	0.940200	0.9432
10	3	-	0.9375	0.9035	0.8544	0.8778	0.9375	0.9482	0.967967	0.9579
10	4	-	0.9219	0.8205	0.9305	0.8691	0.9219	0.9726	0.918767	0.9443
11	0	-	0.9349	0.8555	0.8989	0.8747	0.9349	0.9644	0.948200	0.9560
11	1	-	0.9583	0.9244	0.9173	0.9202	0.9583	0.9718	0.971100	0.9714
11	2	-	0.9358	0.8762	0.8640	0.8682	0.9358	0.9559	0.959200	0.9573
11	3	-	0.9202	0.8466	0.8180	0.8282	0.9202	0.9436	0.952233	0.9475
11	4	-	0.9115	0.7287	0.9529	0.8218	0.9115	0.9808	0.902500	0.9400
12	0	-	0.9280	0.8261	0.8994	0.8597	0.9280	0.9640	0.939433	0.9514
12	1	-	0.9609	0.9232	0.9307	0.9253	0.9609	0.9752	0.972300	0.9735
12	2	-	0.9263	0.8659	0.8194	0.8376	0.9263	0.9442	0.960567	0.9517
12	3	-	0.9349	0.9179	0.8264	0.8675	0.9349	0.9398	0.975100	0.9569
12	4	-	0.9219	0.8126	0.9284	0.8642	0.9219	0.9733	0.919200	0.9450
13	0	-	0.9349	0.8583	0.9003	0.8785	0.9349	0.9634	0.947067	0.9551
13	1	-	0.9583	0.9209	0.9219	0.9213	0.9583	0.9714	0.971733	0.9716
13	2	-	0.9306	0.8616	0.8672	0.8624	0.9306	0.9546	0.951733	0.9530
13	3	-	0.9323	0.8927	0.8258	0.8571	0.9323	0.9427	0.968867	0.9555
13	4	-	0.9193	0.8061	0.9436	0.8631	0.9193	0.9759	0.912300	0.9421
14	0	-	0.9297	0.8500	0.9051	0.8740	0.9297	0.9638	0.939900	0.9512
14	1	-	0.9610	0.9365	0.9313	0.9313	0.9610	0.9750	0.970700	0.9725
14	2	-	0.9384	0.8945	0.8621	0.8763	0.9384	0.9562	0.960967	0.9583
14	3	-	0.9185	0.8762	0.7866	0.8275	0.9185	0.9310	0.963100	0.9466
14	4	-	0.9332	0.8091	0.9491	0.8735	0.9332	0.9813	0.928400	0.9541
-	-	0.9335	0.9335	0.8576	0.8885	0.8689	0.9335	0.9614	0.9495	0.9549
